,IFA,dom_habitat,decade,X1,X2,count,percent,grp_count,grp_percent,ACBR_Name,ecogroup
203,20023,8,196,-0.445551314,-0.349338699,2,2,3,3,South Victoria Land,hab8_asm3
204,20038,2,200,-0.164926713,-0.031018472,3;12,12,3,,South Victoria Land,hab2_asm3
205,20046,7,196,-0.418586872,-0.310167089,2,2,3,3,South Victoria Land,hab7_asm3
206,20065,2,200,-0.400136999,0.013940893,3,3,3,3,South Victoria Land,hab2_asm3
207,20070,7,196,-0.424611401,-0.306420792,2,2,3,3,South Victoria Land,hab7_asm3
208,20070,7,201,0.605802184,0.112075976,NA,NA,NA,,South Victoria Land,hab7_asmNA
209,20070,7,199,-0.273661269,-0.494705531,15,15,3,3,South Victoria Land,hab7_asm3
210,20070,7,198,0.047373876,-0.048089073,3;14,14,NA,1,South Victoria Land,hab7_asmNA
211,20070,7,200,-0.337980065,-0.004516474,3,7,3,1,South Victoria Land,hab7_asm3
212,20085,5,199,-0.204178732,-0.163039196,12,12,3,3,South Victoria Land,hab5_asm3
213,20085,5,200,-0.101333815,-0.023124207,3,3,3,3,South Victoria Land,hab5_asm3
214,20092,7,196,-0.426067056,-0.243101214,2,2,3,3,South Victoria Land,hab7_asm3
215,20101,8,197,0.098643007,-0.127443281,15,15,NA,,South Victoria Land,hab8_asmNA
216,20101,8,200,-0.431957916,0.011448793,3,3,3,3,South Victoria Land,hab8_asm3
217,20101,8,199,-0.293000478,-0.251149975,12,15,3,3,South Victoria Land,hab8_asm3
218,20111,7,196,-0.489924613,-0.345057098,2,2,3,3,South Victoria Land,hab7_asm3
219,20111,7,198,0.207818342,-0.2184061,3,3,7,7,South Victoria Land,hab7_asm7
220,20111,7,199,0.319178327,-0.212948247,2,11;14;15,7,3,South Victoria Land,hab7_asm7
221,20118,7,198,0.176394527,-0.323782306,3,3,7,7,South Victoria Land,hab7_asm7
222,20118,7,199,0.256193942,-0.298896453,2,15,7,3,South Victoria Land,hab7_asm7
223,20118,7,196,-0.204156197,-0.323935927,2,15,3,7,South Victoria Land,hab7_asm3
224,20128,7,199,0.326513518,-0.122944942,2,11,7,,South Victoria Land,hab7_asm7
225,20131,7,199,0.33984299,-0.116089654,2,2,7,7,South Victoria Land,hab7_asm7
226,20134,7,196,-0.496395078,-0.336364619,2,2,3,3,South Victoria Land,hab7_asm3
227,20134,7,199,0.337403084,-0.082864341,2,14,7,,South Victoria Land,hab7_asm7
228,20160,7,199,0.40409674,-0.060953024,2,2,7,7,South Victoria Land,hab7_asm7
229,20169,8,200,-0.264484934,0.006286287,3,10,3,,South Victoria Land,hab8_asm3
230,20169,8,199,0.373802298,-0.105463033,2,2,7,7,South Victoria Land,hab8_asm7
231,20199,7,198,0.390947518,0.106833042,3,3,7,7,South Victoria Land,hab7_asm7
232,20263,7,196,-0.380466748,0.078585518,1;2;5,5,NA,4,South Victoria Land,hab7_asmNA
233,20309,7,198,0.421120066,0.216966014,3,3,7,7,South Victoria Land,hab7_asm7
