"","Row.names","dom_habitat","decade","X1","X2","count","percent","grp.count","grp.percent","ACBR_Name","ecogroup"
"214","21615",7,"200",-0.144581335767016,0.333110494574704,"3","3","1","1","North Victoria Land","hab7_grp1"
"215","21615",7,"196",0.328850836042627,-0.232347199027781,"2","4","1","1","North Victoria Land","hab7_grp1"
"216","21615",7,"199",0.279226830971248,0.0998349801723109,"1","1","1","1","North Victoria Land","hab7_grp1"
"217","21705",7,"199",0.315449748954825,-0.0975170621397663,"1","1","1","1","North Victoria Land","hab7_grp1"
"218","21705",7,"198",0.441349307904777,-0.235985884706967,"2","2","1","1","North Victoria Land","hab7_grp1"
"219","21705",7,"200",-0.081298027297301,0.514129012722384,"3","3","1","1","North Victoria Land","hab7_grp1"
"220","21709",2,"200",0.572052396097042,-0.0846876055911817,"5","5","1","1","North Victoria Land","hab2_grp1"
"221","21830",8,"196",0.45345168625064,0.0477895211764734,"4","4","1","1","North Victoria Land","hab8_grp1"
"222","21830",8,"200",-0.174107642716721,0.539819029837838,"3","3","1","1","North Victoria Land","hab8_grp1"
"223","21924",7,"200",-0.134539106882764,0.386965200481206,"3","3","1","1","North Victoria Land","hab7_grp1"
"224","21924",7,"196",0.336562479108565,-0.0273498846517489,"4","4","1","1","North Victoria Land","hab7_grp1"
"225","21997",7,"200",-0.176040944044049,0.497677668621563,"3","3","1","1","North Victoria Land","hab7_grp1"
"226","2254",3,"196",-0.218084326837246,0.190864765296128,"1","6","2","3","North-west Antarctic Peninsula","hab3_grp2"
"227","23079",2,"198",0.304465565247909,-0.216406971342721,"2","2","1","1","North Victoria Land","hab2_grp1"
"228","23428",7,"200",0.225897030561401,0.16203252719603,"5","5","1","1","North Victoria Land","hab7_grp1"
"229","2372",3,"198",0.179102265102039,0.0873853220319425,"1","5","2","1","North-west Antarctic Peninsula","hab3_grp2"
"230","2400",3,"198",-0.180272638835586,0.454955845283646,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"231","2436",3,"198",0.105399103598457,0.208957568991346,"1","1","2","2","North-east Antarctic Peninsula","hab3_grp2"
"232","24550",8,"198",0.351222978485143,0.0349155425535464,"2","2","1","1","North Victoria Land","hab8_grp1"
"233","2465",3,"198",0.112335881878312,0.129983764652237,"1","1","2","2","North-east Antarctic Peninsula","hab3_grp2"
"234","2514",3,"198",-0.0463322475935723,0.256842854875304,"1","1","2","2","North-east Antarctic Peninsula","hab3_grp2"
"235","2560",3,"197",-0.344721850442719,-0.16137921540234,"3","6","2","2","North-west Antarctic Peninsula","hab3_grp2"
"236","2560",3,"196",-0.282068575899263,-0.0599069038684379,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"237","2574",3,"198",-0.228143368236578,0.180433521502845,"3","3","3","3","North-west Antarctic Peninsula","hab3_grp3"
"238","2574",3,"200",-0.192066128284064,-0.433541938702891,"2","1","2","3","North-west Antarctic Peninsula","hab3_grp2"
"239","2575",3,"196",-0.381194835339889,0.00200566620291246,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"240","2579",3,"196",-0.270042994084374,-0.066593224538082,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"241","2655",3,"199",-0.522256003813455,-0.257222988632018,"3","3","2","2","North-west Antarctic Peninsula","hab3_grp2"
"242","2655",3,"200",-0.191096647443787,-0.460350123308345,"1","1","3","3","North-west Antarctic Peninsula","hab3_grp3"
"243","2655",3,"198",-0.588142037918626,0.105603220994141,"1","3","2","3","North-west Antarctic Peninsula","hab3_grp2"
