"","IFA","group","dom_habitat","ecogroup"
"300","15289",3,8,"hab8_grp3"
"301","15311",1,1,"hab1_grp1"
"302","15322",1,1,"hab1_grp1"
"303","15331",1,4,"hab4_grp1"
"304","1534",2,NA,"habNA_grp2"
"305","1535",1,8,"hab8_grp1"
"306","1540",3,NA,"habNA_grp3"
"307","1542",3,3,"hab3_grp3"
"308","1546",2,NA,"habNA_grp2"
"309","1547",1,8,"hab8_grp1"
"310","1548",2,3,"hab3_grp2"
"311","1552",1,8,"hab8_grp1"
"312","1553",2,3,"hab3_grp2"
"313","1556",2,3,"hab3_grp2"
"314","156",1,1,"hab1_grp1"
"315","1563",2,NA,"habNA_grp2"
"316","1569",2,3,"hab3_grp2"
"317","1572",2,NA,"habNA_grp2"
"318","15721",1,4,"hab4_grp1"
"319","1575",2,3,"hab3_grp2"
"320","15780",1,1,"hab1_grp1"
"321","1579",2,NA,"habNA_grp2"
"322","1581",2,NA,"habNA_grp2"
"323","1586",2,NA,"habNA_grp2"
"324","1594",2,NA,"habNA_grp2"
"325","15968",1,8,"hab8_grp1"
"326","15993",1,6,"hab6_grp1"
"327","15996",2,6,"hab6_grp2"
"328","16",2,NA,"habNA_grp2"
"329","16006",2,6,"hab6_grp2"
"330","16010",1,6,"hab6_grp1"
"331","16016",1,6,"hab6_grp1"
"332","16024",3,NA,"habNA_grp3"
"333","1603",1,8,"hab8_grp1"
"334","16030",1,8,"hab8_grp1"
"335","16031",1,8,"hab8_grp1"
"336","16035",1,8,"hab8_grp1"
"337","16036",3,NA,"habNA_grp3"
"338","16045",2,8,"hab8_grp2"
"339","16058",1,3,"hab3_grp1"
"340","16068",1,3,"hab3_grp1"
"341","1607",2,3,"hab3_grp2"
"342","16080",1,6,"hab6_grp1"
"343","16095",1,6,"hab6_grp1"
"344","16098",1,8,"hab8_grp1"
"345","161",1,1,"hab1_grp1"
"346","16104",1,1,"hab1_grp1"
"347","16111",1,8,"hab8_grp1"
"348","16126",2,8,"hab8_grp2"
"349","1613",2,3,"hab3_grp2"
